Customer User ID,Order ID,Coupons Used
1283460,1779,swigshave
1283462,1785,swigshave
1283463,1802,swigshave
1283465,1911,saforums
1283466,1939,uklaunch
1283468,1947,uklaunch
1283469,1951,uklaunch
1283470,1953,expat
1283475,1967,regents
1283477,1969,regents
1283481,1981,abettershave
1283489,1993,abettershave
1283492,1996,adeel75
1283497,2007,3beards
1283498,2008,3beards
1283500,2010,3beards
1283502,2014,regents
1283504,2017,abettershave
1283505,2035,abettershave
1283514,2096,3beards
1283515,2101,june2014
1283516,2102,june2014
1283520,2106,june2014
1283521,2107,june2014
1283524,2117,bvuk
1283525,2118,bvuk
1283527,2121,june2014
1283529,2127,june2014
1283531,2129,paulvip
1283532,2130,june2014
1283533,2134,paulvip
1283536,2138,paulvip
1283537,2140,june2014
1283539,2141,paulvip
1283538,2142,paulvip
1283540,2143,paulvip
1283541,2144,paulvip
1283542,2146,paulvip
1283543,2147,paulvip
1283545,2148,paulvip
1283546,2150,paulvip
1283547,2151,paulvip
1283542,2155,paulvip
1283549,2157,bvuk
1283551,2166,summer14
1283554,2169,summer14
1283555,2170,july14
1283556,2172,july2014
1283561,2191,july2014
1283564,2225,bikewins22
1283565,2230,bikewins22
1283566,2237,bearded45
1283567,2239,bearded45
1283568,2288,bearded45|summer2014
1283569,2290,stevevip
1283572,2297,bikewins22
1283573,2298,july14
1283574,2299,veterans
1283575,2300,bearded45
1283576,2301,bikewins22
1283578,2303,bearded45
1283581,2308,summer14
1283582,2312,bikewins22
1283583,2313,veterans
1283587,2318,bearded45
1283588,2319,bikewins22
1283589,2320,july2014
1283590,2322,bearded45
1283591,2325,bikewins22
1283592,2326,bearded45
10,2327,bikewins22
1283595,2336,bikewins22
1283596,2337,bikewins22
1283599,2340,bikewins22
1283600,2341,bikewins22
1283604,2344,bearded45
1283605,2345,bikewins22
1283606,2346,bikewins22
1283608,2347,bikewins22
1283598,2348,bearded45
1283605,2349,summer2014
1283609,2350,bikewins22
1283611,2351,bikewins22
1283614,2353,bikewins22
1283615,2354,bikewins22
1283617,2357,bearded45
1283618,2359,bearded45
1283620,2363,bikewins22
1283622,2366,bearded45
1283624,2367,regents
1283625,2372,bearded45
1283626,2373,bikewins22
1283630,2407,bikewins22
1283633,2415,icameback
1283634,2418,bikewins22
1283637,2424,bikewins22
1283639,2425,bearded45
1283641,2427,bikewins22
1283643,2434,bikewins22
1283650,2457,bikewins22
1283651,2459,bikewins22
1283653,2463,bikewins22
1283659,2476,bearded45
1283660,2483,3beards
1283661,2485,regents
1283662,2492,mates
1283663,2498,abettershave
1283664,2507,bikewins22
1283669,2526,bikewins22
1283671,2550,bearded45
1283675,2565,mates
1283677,2567,abettershave
1283678,2574,special75
1283680,2577,regents
1283683,2584,summer14
1283684,2586,pieboy
1283689,2603,bearded45
1283690,2614,bearded45
1283692,2616,regents
1283693,2617,abettershave
1283695,2627,regents
1283698,2644,regents
1283702,2684,bikewins22
1283651,3057,wb2tc
1283724,3073,markvip
1283729,3091,dukeofwellington
1283730,3096,dukeofwellington
1283733,3104,dukeofwellington
1283737,3121,markvip
1283748,3186,special75
1283746,3249,icameback
1283757,3273,cw71n3f29
1283758,3275,wb2tc
1283763,3277,gbe35ax23
1283764,3279,cw71n3f29
1283750,3287,icameback
1283772,3316,gbe35ax23
1283773,3320,cw71n3f29
1283781,3327,cac6h4p8
1283784,3328,cac6h4p8
1283785,3329,cac6h4p8
1283800,3334,cac6h4p8
1283801,3335,cac6h4p8
1283820,3338,cac6h4p8
1283822,3339,cac6h4p8
1283824,3340,cac6h4p8
1283828,3343,cac6h4p8
1283832,3353,cac6h4p8
1283833,3355,gbe35ax23
